country_territory,date_start,note,source
El Salvador,1/31/20,,https://www.elsalvador.com/noticias/nacional/coronavirus-china-salud-emergencia/682051/2020/
Guatemala,1/31/20,,https://www.reuters.com/article/china-health-guatemala/guatemala-imposes-travel-restrictions-to-stop-entry-of-coronavirus-idUSL1N2A00W5
Guyana,1/31/20,,https://www.minfor.gov.gy/advisory/
Iran,1/31/20,,https://twitter.com/saeednamaki/status/1223268652771954688
Italy,1/31/20,,https://www.enac.gov.it/news/coronavirus-sospesi-tutti-collegamenti-aerei-tra-italia-cina-courtesy-translation-available
Jamaica,1/31/20,,https://www.moh.gov.jm/jamaica-issues-ban-on-china-related-travel/
Micronesia,1/31/20,,https://www.fsmgov.org/fsmun/pubhealth.pdf
Solomon Islands,1/31/20,,https://www.solomontimes.com/news/solomon-islands-joins-growing-list-of-countries-imposing-travel-restrictions/9557
Turkmenistan,1/31/20,,https://www.reuters.com/article/china-health-turkmenistan-flights/turkmenistan-airlines-suspends-air-link-with-beijing-over-virus-outbreak-idUSR4N29W02C
Australia,2/1/20,,https://covid19.homeaffairs.gov.au/
Japan,2/1/20,Hubei (and Zhejiang on February 13),https://japan.kantei.go.jp/98_abe/actions/202002/_00001.html; https://japan.kantei.go.jp/98_abe/actions/202002/_00016.html
Kyrgyzstan,2/1/20,,https://www.gov.kg/ky/post/s/punkty-propuska-na-granitse-s-kitaem-vremenno-zakryty-priostanovleno-vozdushnoe-soobshchenie
Mongolia,2/1/20,,https://montsame.mn/en/read/214705
Palau,2/1/20,,http://palauembassy.or.jp/wp-content/uploads/2020/02/Ex-435_Addendum-to-Executive-Order-433_Novel-Coronavirus.pdf
Saint Kitts and Nevis,2/1/20,,https://www.thinkglobalhealth.org/article/travel-restrictions-china-due-covid-19
Uzbekistan,2/1/20,,https://www.reuters.com/article/china-health-uzbekistan-flights/uzbekistan-to-suspend-regular-flights-to-and-from-china-idUSR4N29W02D
Vietnam,2/1/20,,http://news.chinhphu.vn/Home/VN-steps-up-efforts-in-novel-coronavirus-prevention-and-control/20201/38623.vgp
Fiji,2/2/20,,https://www.rnz.co.nz/international/pacific-news/408729/pacific-nations-move-to-protect-borders-from-wuhan-coronavirus
Grenada,2/2/20,,https://www.thinkglobalhealth.org/article/travel-restrictions-china-due-covid-19
India,2/2/20,,https://weather.com/en-IN/india/news/news/2020-02-04-govt-suspends-air-travel-from-china
Indonesia,2/2/20,,https://www.reuters.com/article/us-china-health-indonesia/indonesia-to-stop-flights-to-and-from-china-amid-coronavirus-epidemic-idUSKBN1ZW09T
Iraq,2/2/20,,https://www.esquireme.com/content/43161-iraq-bans-foreign-arrivals-from-china-due-to-coronavirus
Israel,2/2/20,,https://www.health.gov.il/English/News_and_Events/Spokespersons_Messages/Pages/02022020_2.aspx
Mauritius,2/2/20,,https://crisis24.garda.com/insights/news-alerts/p2kzzrbnqhycyr9te/mauritius-air-mauritius-suspends-flights-to-mainland-china-and-hong-kong-due-to-2019-ncov-outbreak-february-3
New Zealand,2/2/20,,https://www.beehive.govt.nz/release/new-zealand-restrict-travel-china-protect-against-coronavirus
Philippines,2/2/20,,https://immigration.gov.ph/images/News/2020_Yr/02_Feb/2020Feb02_Press-B.pdf
United States,2/2/20,,https://www.whitehouse.gov/presidential-actions/proclamation-suspension-entry-immigrants-nonimmigrants-persons-pose-risk-transmitting-2019-novel-coronavirus/
Kazakhstan,2/3/20,,https://www.government.kz/en/news/informacionnoe-soobshchenie-dlya-smi
Maldives,2/3/20,,https://presidency.gov.mv/Press/Article/23040
Niue,2/3/20,,https://www.thinkglobalhealth.org/article/travel-restrictions-china-due-covid-19
Oman,2/3/20,,https://thearabweekly.com/iraq-oman-and-saudi-impose-coronavirus-travel-restrictions
Seychelles,2/3/20,,https://www.facebook.com/mohseychellesofficial/posts/1315618501972611
Tonga,2/3/20,,https://www.gov.to/press-release/travel-advisory-no-2-for-travelers-arriving-in-or-intending-to-travel-to-tonga/
Tuvalu,2/3/20,,https://www.fj.emb-japan.go.jp/files/000564585.pdf
Nauru,2/4/20,,https://www.taiwanembassy.org/nr_en/post/1952.html
Samoa,2/4/20,,http://www.samoagovt.ws/2020/02/health-travel-advisory-novel-coronavirus-2019-ncov-effective-immediately-3/
South Korea,2/4/20,Hubei,https://www.opm.go.kr/en/prime/news.do?mode=view&articleNo=124891&article.offset=0&articleLimit=10
Saint Lucia,2/4/20,,http://www.govt.lc/news/saint-lucia-imposes-travel-restrictions-on-travellers-from-china
Timor-Leste,2/4/20,,http://timor-leste.gov.tl/?p=23519
Jordan,2/5/20,,https://jo.usembassy.gov/routine-message-entry-ban-for-foreigners-who-recently-traveled-to-china-february-6-2020/
Suriname,2/5/20,,https://www.telegraaf.nl/nieuws/500129464/buitenlandse-reizigers-uit-china-niet-welkom-in-suriname
Turkey,2/5/20,,https://www.aa.com.tr/en/health/turkey-to-suspend-flights-from-china-until-end-of-month/1722860
Kuwait,2/6/20,,https://www.aa.com.tr/en/asia-pacific/kuwait-suspends-china-hong-kong-flights/1719723
Saudi Arabia,2/6/20,,https://apnews.com/article/01ecf3c08b7532101e7706653dd6ae0a
Gabon,2/7/20,,https://www.africanews.com/2020/02/08/coronavirus-gabon-bans-entry-of-passengers-from-china
Taiwan,2/7/20,,https://en.mofa.gov.tw/News_Content.aspx?n=1EADDCFD4C6EC567&sms=5B9044CF1188EE23&s=EFB88BECEB5CCC92
Belize,2/8/20,,https://belize.gov.bz/files/Feb%208%20-%20Government%20of%20Belize%20Issues%20Travel%20Ban%20for%20Travelers%20having%20Recently%20Visited%20China.pdf
Czech Republic,2/9/20,,https://news.expats.cz/weekly-czech-news/flights-between-czech-republic-china-to-be-suspended-due-to-coronavirus/
Malaysia,2/9/20,"Hubei, Zhejiang, and Jiangsu",https://m.facebook.com/story.php?story_fbid=2876074542458982&id=138683329531464
Vanuatu,2/9/20,,https://www.fj.emb-japan.go.jp/itpr_ja/00_000625.html
Comoros,2/10/20,,https://la1ere.francetvinfo.fr/coronavirus-comores-imposent-mise-quarantaine-pays-tiers-798719.html
Madagascar,2/11/20,,http://www.midi-madagasikara.mg/societe/2020/02/11/coronavirus-letat-interdit-formellement-les-vols-chine-madagascar/
Bahrain,2/13/20,,https://www.gulf-insider.com/coronavirus-bahrain-bans-foreigners-who-have-visited-china/
Russia,2/19/20,,http://static.government.ru/media/files/rGTA1shAGQE0zxbi4XXFjIj3XcU0wfph.pdf
Kenya,2/28/20,,https://www.straitstimes.com/world/africa/kenya-court-blocks-flights-from-china-after-travellers-allowed-entry-without-enforced
Lebanon,2/28/20,,https://www.aa.com.tr/en/middle-east/lebanon-bans-entry-of-passengers-from-virus-hit-states/1748598
Angola,3/3/20,,https://www.garda.com/crisis24/news-alerts/318971/angola-entry-restrictions-implemented-amid-covid-19-outbreak-march-1-update-1
Tajikistan,3/3/20,,https://thediplomat.com/2020/03/tajikistan-blocks-entry-of-citizens-from-35-countries-over-coronavirus-fears/
